"Entire home/apt","Hotel room","Private room","Shared room","city"
248.8989134652697,177.32258064516128,150.76649454962708,108.23076923076923,Amsterdam
126.55544747081711,148.0,90.35483870967742,65.0,Antwerp
164.0002444525282,404.6328,124.96361953727506,59.880228571428574,Asheville
95.57335698098335,331.0875912408759,102.10344827586206,39.72839506172839,Athens
310.40863302349163,720.0336,161.5818353330575,65.02957798165137,Austin
77.92051214916195,84.7246346581876,75.57593295012953,29.842786023622047,Bangkok
180.90383599281412,206.04026845637583,116.6205197893664,47.87820512820513,Barcelona
128.7861175263023,172.48275862068965,70.5061357375407,66.23287671232876,Berlin
143.796867584243,265.4848484848485,85.25875486381322,32.30769230769231,Bergamo
305.93643906976746,126.63991475409837,162.09653195876288,55.17208421052632,Belize
254.14061456245824,464.05555555555554,161.0019920318725,37.29032258064516,Bologna
215.6106936708861,500.0042666666667,90.55195935334874,54.34,Boston
122.17694704049845,141.45945945945945,69.37453183520599,43.708333333333336,Bordeaux
132.57558273713363,210.4375,81.3793324775353,132.35714285714286,Brussels
58.02108923220974,190.7160603960396,40.832008503717475,91.41336726190477,Buenos Aires
182.45975548501775,126.4676421686747,92.51991982942431,36.63399259259259,Cape Town
217.83260327868854,,99.57643211678833,117.32864000000002,Cambridge
193.04003074884028,129.445888,83.0171066079295,41.95937777777778,Chicago
131.95199342240494,44.975542857142855,58.08911917098446,32.39808000000001,Columbus
189.42149145728646,110.68624285714286,185.89850709353422,72.1846888888889,Copenhagen
234.99202465994716,1025.9149484536083,888.6845047923323,26.404761904761905,Crete
166.03016908232397,,169.67067670850767,67.51285894736841,Dallas
169.67268581482298,96.2368,86.3393775483871,40.37048888888889,Denver
276.5087231352718,189.86111111111111,142.2556473829201,81.95703125,Dublin
216.61319809712583,112.20833529411763,118.7603182875756,45.89398947368421,Edinburgh
232.3573766658873,202.55479452054794,113.77097078228087,115.57777777777778,Florence
132.91957104557642,137.0,88.88857142857142,82.5,Ghent
212.54273684210528,209.77999999999997,113.21679748822606,136.13076923076923,Geneva
225.7679184607838,126.8,173.16707218167073,102.96,Girona
482.13745696368676,333.32693333333333,557.8498188374261,72.02063673469388,Hawaii
149.9924546382601,73.76389999999999,73.11639957754979,82.19290168350167,Hong Kong
85.19072967032967,129.45629023255813,62.475135423490876,32.243595897435895,Istanbul
296.1868304806565,102.2528,63.35512857142857,68.64,Jersey City
198.3605823627288,552.5178947368421,90.02093023255814,61.27846153846154,Lausanne
155.50133437479658,231.89082969432314,83.14617006324666,43.26271186440678,Lisbon
260.00474306776914,262.4726981308411,117.91775477689379,105.53776327543423,London
315.9650804923536,580.0493493975904,130.20966673234813,79.81016700143472,Los Angeles
113.5191500879686,165.66666666666666,65.63748810656517,43.17391304347826,Lyon
160.27568904079703,203.03225806451613,98.30223353124117,103.30689655172414,Madrid
223.57056918093474,634.8,74.24951267056531,72.35,Malaga
325.8174752413188,264.8445945945946,164.74389551391255,92.46153846153847,Mallorca
195.43926731962125,98.95699999999998,95.47650187110186,63.19018888888888,Manchester
202.36934887886426,191.64588732394367,120.24431938244048,59.754801619433195,Melbourne
324.44940828402366,117.33333333333333,289.1869918699187,45.0,Menorca
197.1341522743858,245.4,112.36226311452897,70.876,Milan
131.11021840084325,151.61758181818183,127.82055465393796,49.35509090909091,Montreal
133.04781028877414,110.31693989071039,116.15526007039499,41.21621621621622,Naples
265.0219303609342,675.9057066666667,181.8216459770115,140.0256,Nashville
237.96680515021458,219.26998260869567,283.39961439476554,49.49924571428571,New Orleans
159.90126009693054,,56.3989175308642,56.368,Newark
194.32411428571427,90.6048,79.75314285714286,30.716400000000004,Oakland
151.5494258383727,30.65982857142857,114.15512494929007,84.63309230769231,Oslo
174.66680455015512,327.6612021857924,136.92763524818739,101.62975778546713,Paris
126.55505233986929,96.18316190476192,104.30360499306519,38.6672,Portland
120.29525971889474,236.38201593406592,128.42671964038726,77.5738546875,Prague
352.2342300775194,298.40903529411764,144.000965748503,141.55093333333332,Rhode Island
70.403880866426,223.9,53.46268656716418,21.82608695652174,Riga
207.08991215846422,246.23234999999997,100.44190590238365,328.7007208333334,Rio de Janeiro
239.01813714018255,223.06997084548104,158.05387591345465,63.137724550898206,Rome
160.17425431711146,245.33333333333334,121.9098712446352,41.23076923076923,Rotterdam
170.61870222222223,,66.17932075471698,363.792,Salem
302.53081067363314,75.22944,188.29166289308176,182.32817777777777,San Diego
248.6519156572454,865.1984,393.0607477744807,218.80109850746268,San Francisco
160.66307947241316,0.0,80.4308110542477,62.17258666666667,Seattle
290.42343427391603,367.7857142857143,231.55701754385964,115.48387096774194,Sevilla
101.79742912680334,113.55814716981132,78.90464497716894,468.2544991666667,Santiago
242.83838318021205,683.9606200000001,117.98107786259543,76.80628480000001,Singapore
171.79767186588919,67.78715588235295,61.43508753665689,62.971872499999996,Stockholm
235.640023092051,184.6199081632653,72.64066094157337,49.345696750902526,Sydney
132.17535090735433,105.18779115044248,99.80011542952461,110.2062288209607,Taipei
197.24786324786325,211.5,104.40425531914893,68.5,The Hague
96.13039457459926,73.0,57.95505617977528,32.25,Thessaloniki
186.92021151685393,69.05643624161074,150.63535095567303,48.39042,Tokyo
151.73079145790555,56.94173333333333,66.28305637583892,75.00996687898089,Toronto
222.55871397765145,103.88235294117646,64.64765694076038,45.17391304347826,Valencia
164.4202054054054,100.282,85.61265795121952,49.555800000000005,Vancouver
230.69622708039492,163.4268292682927,136.88982456140351,373.52,Venice
159.25219312183418,204.022,91.0548618705036,116.1888,Victoria
101.76582342781673,140.76,72.65047021943573,47.6875,Vienna
96.01781886151232,,41.344185365853654,57.056999999999995,Winnipeg
205.5156073619632,202.8525,123.87424437299035,99.3225,Zurich
175.15399610136453,137.67567567567568,111.81921208850513,1999.3846153846155,Munich
113.20664124471222,130.89724566929132,80.3830153864911,49.31541569965871,Mexico City
228.1185097903538,283.6748345177665,123.56576971866437,115.544,New York
123.45296579247434,118.5150909090909,70.9841327510917,25.27,Quebec
190.27572938271607,62.32993684210527,121.71165217391304,50.3272,Washington
